path,Extension,,,,,startnumber,prefix,author,,,,filename
C:\temp2\spawn\Spawn 293 (2019) (digital-Empire).cbr,.cbr,293,0,,,293,Spawn,Todd McFarlane,,by,,Spawn - 0293 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 294 (2019) (digital-Empire).cbr,.cbr,294,0,,,294,Spawn,Todd McFarlane,,by,,Spawn - 0294 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 295 (2019) (digital-Empire).cbr,.cbr,295,0,,,295,Spawn,Todd McFarlane,,by,,Spawn - 0295 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 296 (2019) (digital-Empire).cbr,.cbr,296,0,,,296,Spawn,Todd McFarlane,,by,,Spawn - 0296 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 297 (2019) (digital-Empire).cbr,.cbr,297,0,,,297,Spawn,Todd McFarlane,,by,,Spawn - 0297 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 298 (2019) (digital-Empire).cbr,.cbr,298,0,,,298,Spawn,Todd McFarlane,,by,,Spawn - 0298 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 299 (2019) (digital-Empire).cbr,.cbr,299,0,,,299,Spawn,Todd McFarlane,,by,,Spawn - 0299 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 300 (2019) (digital-Empire).cbr,.cbr,300,0,,,300,Spawn,Todd McFarlane,,by,,Spawn - 0300 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 301 (2019) (Digital-Empire).cbr,.cbr,301,0,,,301,Spawn,Todd McFarlane,,by,,Spawn - 0301 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 302 (2019) (Digital-Empire).cbr,.cbr,302,0,,,302,Spawn,Todd McFarlane,,by,,Spawn - 0302 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 303 (2019) (Digital-Empire).cbr,.cbr,303,0,,,303,Spawn,Todd McFarlane,,by,,Spawn - 0303 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 304 (2020) (Digital-Empire).cbr,.cbr,304,0,,,304,Spawn,Todd McFarlane,,by,,Spawn - 0304 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 305 (2020) (Digital-Empire).cbr,.cbr,305,0,,,305,Spawn,Todd McFarlane,,by,,Spawn - 0305 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 306 (2020) (Digital-Empire).cbr,.cbr,306,0,,,306,Spawn,Todd McFarlane,,by,,Spawn - 0306 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 307 (2020) (Digital-Empire).cbr,.cbr,307,0,,,307,Spawn,Todd McFarlane,,by,,Spawn - 0307 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 308 (2020) (Digital-Empire).cbr,.cbr,308,0,,,308,Spawn,Todd McFarlane,,by,,Spawn - 0308 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 309 (2020) (Digital-Empire).cbr,.cbr,309,0,,,309,Spawn,Todd McFarlane,,by,,Spawn - 0309 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 310 (2020) (Digital-Empire).cbr,.cbr,310,0,,,310,Spawn,Todd McFarlane,,by,,Spawn - 0310 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 311 (2020) (Digital-Empire).cbr,.cbr,311,0,,,311,Spawn,Todd McFarlane,,by,,Spawn - 0311 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 312 (2020) (Digital-Empire).cbr,.cbr,312,0,,,312,Spawn,Todd McFarlane,,by,,Spawn - 0312 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 313 (2020) (Digital-Empire).cbr,.cbr,313,0,,,313,Spawn,Todd McFarlane,,by,,Spawn - 0313 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 314 (2021) (Digital-Empire).cbr,.cbr,314,0,,,314,Spawn,Todd McFarlane,,by,,Spawn - 0314 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 315 (2021) (Digital-Empire).cbr,.cbr,315,0,,,315,Spawn,Todd McFarlane,,by,,Spawn - 0315 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 316 (2021) (Digital-Empire).cbr,.cbr,316,0,,,316,Spawn,Todd McFarlane,,by,,Spawn - 0316 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 317 (2021) (Digital-Empire).cbr,.cbr,317,0,,,317,Spawn,Todd McFarlane,,by,,Spawn - 0317 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 318 (2021) (Digital-Empire).cbr,.cbr,318,0,,,318,Spawn,Todd McFarlane,,by,,Spawn - 0318 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 319 (2021) (Digital-Empire).cbr,.cbr,319,0,,,319,Spawn,Todd McFarlane,,by,,Spawn - 0319 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 320 (2021) (Digital-Empire).cbr,.cbr,320,0,,,320,Spawn,Todd McFarlane,,by,,Spawn - 0320 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 321 (2021) (4 covers) (Digital-Empire).cbr,.cbr,321,0,,,321,Spawn,Todd McFarlane,,by,,Spawn - 0321 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 322 (2021) (3 covers) (Digital-Empire).cbr,.cbr,322,0,,,322,Spawn,Todd McFarlane,,by,,Spawn - 0322 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 323 (2021) (3 covers) (Digital-Empire).cbr,.cbr,323,0,,,323,Spawn,Todd McFarlane,,by,,Spawn - 0323 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 324 (2021) (2 covers) (Digital-Empire).cbr,.cbr,324,0,,,324,Spawn,Rory McConville,,by,,Spawn - 0324 by Rory McConville.cbr
C:\temp2\spawn\Spawn 325 (2022) (2 covers) (Digital-Empire).cbr,.cbr,325,0,,,325,Spawn,Rory McConville,,by,,Spawn - 0325 by Rory McConville.cbr
C:\temp2\spawn\Spawn 326 (2022) (2 covers) (Digital-Empire).cbr,.cbr,326,0,,,326,Spawn,Rory McConville,,by,,Spawn - 0326 by Rory McConville.cbr
C:\temp2\spawn\Spawn 327 (2022) (Digital-Empire).cbr,.cbr,327,0,,,327,Spawn,Todd McFarlane,,by,,Spawn - 0327 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 328 (2022) (2 covers) (Digital-Empire).cbr,.cbr,328,0,,,328,Spawn,Todd McFarlane,,by,,Spawn - 0328 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 329 (2022) (2 covers) (Digital-Empire).cbr,.cbr,329,0,,,329,Spawn,Todd McFarlane,,by,,Spawn - 0329 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 330 (2022) (2 covers) (Digital-Empire).cbr,.cbr,330,0,,,330,Spawn,Rory McConville,,by,,Spawn - 0330 by Rory McConville.cbr
C:\temp2\spawn\Spawn 331 (2022) (2 covers) (Digital-Empire).cbr,.cbr,331,0,,,331,Spawn,Todd McFarlane,,by,,Spawn - 0331 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 332 (2022) (2 covers) (Digital-Empire).cbr,.cbr,332,0,,,332,Spawn,Rory McConville,,by,,Spawn - 0332 by Rory McConville.cbr
C:\temp2\spawn\Spawn 333 (2022) (2 covers) (Digital-Empire).cbr,.cbr,333,0,,,333,Spawn,Rory McConville,,by,,Spawn - 0333 by Rory McConville.cbr
C:\temp2\spawn\Spawn 334 (2022) (2 covers) (Digital-Empire).cbr,.cbr,334,0,,,334,Spawn,Todd McFarlane,,by,,Spawn - 0334 by Todd McFarlane.cbr
