path,Extension,,,,,startnumber,prefix,author,,,,filename
C:\temp2\spawn\Spawn 058(1997)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,58,0,,,58,Spawn,Todd McFarlane,,by,,Spawn - 058 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 059(1997)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,59,0,,,59,Spawn,Todd McFarlane,,by,,Spawn - 059 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 060(1997)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,60,0,,,60,Spawn,Todd McFarlane,,by,,Spawn - 060 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 061(1997)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,61,0,,,61,Spawn,Todd McFarlane,,by,,Spawn - 061 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 062(1997)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,62,0,,,62,Spawn,Todd McFarlane,,by,,Spawn - 062 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 063(1997)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,63,0,,,63,Spawn,Todd McFarlane,,by,,Spawn - 063 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 064(1997)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,64,0,,,64,Spawn,Todd McFarlane,,by,,Spawn - 064 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 065(1997)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,65,0,,,65,Spawn,Todd McFarlane,,by,,Spawn - 065 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 066(1997)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,66,0,,,66,Spawn,Todd McFarlane,,by,,Spawn - 066 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 067(1997)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,67,0,,,67,Spawn,Todd McFarlane,,by,,Spawn - 067 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 068(1998)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,68,0,,,68,Spawn,Todd McFarlane,,by,,Spawn - 068 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 069(1998)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,69,0,,,69,Spawn,Todd McFarlane,,by,,Spawn - 069 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 070(1998)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,70,0,,,70,Spawn,Todd McFarlane,,by,,Spawn - 070 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 071(1998)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,71,0,,,71,Spawn,Brian Holguin,,by,,Spawn - 071 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 072(1998)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,72,0,,,72,Spawn,Brian Holguin,,by,,Spawn - 072 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 073(1998)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,73,0,,,73,Spawn,Brian Holguin,,by,,Spawn - 073 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 074(1998)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,74,0,,,74,Spawn,Brian Holguin,,by,,Spawn - 074 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 075(1998)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,75,0,,,75,Spawn,Brian Holguin,,by,,Spawn - 075 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 076(1998)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,76,0,,,76,Spawn,Todd McFarlane,,by,,Spawn - 076 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 077(1998)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,77,0,,,77,Spawn,Brian Holguin,,by,,Spawn - 077 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 078(1998)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,78,0,,,78,Spawn,Todd McFarlane,,by,,Spawn - 078 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 079(1999)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,79,0,,,79,Spawn,Todd McFarlane,,by,,Spawn - 079 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 080(1999)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,80,0,,,80,Spawn,Todd McFarlane,,by,,Spawn - 080 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 081(1999)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,81,0,,,81,Spawn,Brian Holguin,,by,,Spawn - 081 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 082(1999)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,82,0,,,82,Spawn,Brian Holguin,,by,,Spawn - 082 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 083(1999)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,83,0,,,83,Spawn,Brian Holguin,,by,,Spawn - 083 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 084(1999)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,84,0,,,84,Spawn,Brian Holguin,,by,,Spawn - 084 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 085(1999)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,85,0,,,85,Spawn,Brian Holguin,,by,,Spawn - 085 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 086(1999)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,86,0,,,86,Spawn,Brian Holguin,,by,,Spawn - 086 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 087(1999)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,87,0,,,87,Spawn,Brian Holguin,,by,,Spawn - 087 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 088(1999)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,88,0,,,88,Spawn,Brian Holguin,,by,,Spawn - 088 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 089(1999)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,89,0,,,89,Spawn,Brian Holguin,,by,,Spawn - 089 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 090(1999)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,90,0,,,90,Spawn,Brian Holguin,,by,,Spawn - 090 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 091(2000)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,91,0,,,91,Spawn,Brian Holguin,,by,,Spawn - 091 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 092(2000)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,92,0,,,92,Spawn,Brian Holguin,,by,,Spawn - 092 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 093(2000)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,93,0,,,93,Spawn,Brian Holguin,,by,,Spawn - 093 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 094(2000)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,94,0,,,94,Spawn,Brian Holguin,,by,,Spawn - 094 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 095(2000)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,95,0,,,95,Spawn,Brian Holguin,,by,,Spawn - 095 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 096(2000)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,96,0,,,96,Spawn,Brian Holguin,,by,,Spawn - 096 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 097(2000)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,97,0,,,97,Spawn,Brian Holguin,,by,,Spawn - 097 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 098(2000)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,98,0,,,98,Spawn,Brian Holguin,,by,,Spawn - 098 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 099(2000)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,99,0,,,99,Spawn,Brian Holguin,,by,,Spawn - 099 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 100(2000)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,100,0,,,100,Spawn,Brian Holguin,,by,,Spawn - 0100 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 101(2000)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,101,0,,,101,Spawn,Todd McFarlane,,by,,Spawn - 0101 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 102(2000)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,102,0,,,102,Spawn,Brian Holguin,,by,,Spawn - 0102 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 103(2001)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,103,0,,,103,Spawn,Brian Holguin,,by,,Spawn - 0103 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 104(2001)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,104,0,,,104,Spawn,Brian Holguin,,by,,Spawn - 0104 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 105(2001)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,105,0,,,105,Spawn,Steve Niles,,by,,Spawn - 0105 by Steve Niles.cbr
C:\temp2\spawn\Spawn 106(2001)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,106,0,,,106,Spawn,Steve Niles,,by,,Spawn - 0106 by Steve Niles.cbr
C:\temp2\spawn\Spawn 107(2001)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,107,0,,,107,Spawn,Brian Holguin,,by,,Spawn - 0107 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 108(2001)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,108,0,,,108,Spawn,Brian Holguin,,by,,Spawn - 0108 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 109(2001)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,109,0,,,109,Spawn,Brian Holguin,,by,,Spawn - 0109 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 110(2001)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,110,0,,,110,Spawn,Brian Holguin,,by,,Spawn - 0110 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 111(2001)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,111,0,,,111,Spawn,Brian Holguin,,by,,Spawn - 0111 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 112(2001)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,112,0,,,112,Spawn,Brian Holguin,,by,,Spawn - 0112 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 113(2001)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,113,0,,,113,Spawn,Brian Holguin,,by,,Spawn - 0113 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 114(2002)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,114,0,,,114,Spawn,Brian Holguin,,by,,Spawn - 0114 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 115(2002)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,115,0,,,115,Spawn,Brian Holguin,,by,,Spawn - 0115 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 116(2002)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,116,0,,,116,Spawn,Brian Holguin,,by,,Spawn - 0116 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 117(2002)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,117,0,,,117,Spawn,Brian Holguin,,by,,Spawn - 0117 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 118(2002)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,118,0,,,118,Spawn,Brian Holguin,,by,,Spawn - 0118 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 119(2002)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,119,0,,,119,Spawn,Brian Holguin,,by,,Spawn - 0119 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 120(2002)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,120,0,,,120,Spawn,Brian Holguin,,by,,Spawn - 0120 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 121(2002)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,121,0,,,121,Spawn,Brian Holguin,,by,,Spawn - 0121 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 122(2003)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,122,0,,,122,Spawn,Brian Holguin,,by,,Spawn - 0122 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 123(2003)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,123,0,,,123,Spawn,Brian Holguin,,by,,Spawn - 0123 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 124(2003)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,124,0,,,124,Spawn,Brian Holguin,,by,,Spawn - 0124 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 125(2003)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,125,0,,,125,Spawn,Brian Holguin,,by,,Spawn - 0125 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 126(2003)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,126,0,,,126,Spawn,Brian Holguin,,by,,Spawn - 0126 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 127(2003)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,127,0,,,127,Spawn,Brian Holguin,,by,,Spawn - 0127 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 128(2003)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,128,0,,,128,Spawn,Brian Holguin,,by,,Spawn - 0128 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 129(2003)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,129,0,,,129,Spawn,Brian Holguin,,by,,Spawn - 0129 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 130(2003)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,130,0,,,130,Spawn,Brian Holguin,,by,,Spawn - 0130 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 131(2003)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,131,0,,,131,Spawn,Brian Holguin,,by,,Spawn - 0131 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 132(2003)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,132,0,,,132,Spawn,Brian Holguin,,by,,Spawn - 0132 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 133(2004)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,133,0,,,133,Spawn,Brian Holguin,,by,,Spawn - 0133 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 134(2004)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,134,0,,,134,Spawn,Brian Holguin,,by,,Spawn - 0134 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 135(2004)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,135,0,,,135,Spawn,Brian Holguin,,by,,Spawn - 0135 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 136(2004)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,136,0,,,136,Spawn,Brian Holguin,,by,,Spawn - 0136 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 137(2004)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,137,0,,,137,Spawn,Brian Holguin,,by,,Spawn - 0137 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 138(2004)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,138,0,,,138,Spawn,Brian Holguin,,by,,Spawn - 0138 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 139(2004)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,139,0,,,139,Spawn,Brian Holguin,,by,,Spawn - 0139 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 140(2004)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,140,0,,,140,Spawn,Brian Holguin,,by,,Spawn - 0140 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 141(2004)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,141,0,,,141,Spawn,Brian Holguin,,by,,Spawn - 0141 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 142(2005)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,142,0,,,142,Spawn,Brian Holguin,,by,,Spawn - 0142 by Brian Holguin.cbr
C:\temp2\spawn\Spawn 143(2005)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,143,0,,,143,Spawn,Brian Holguin,,by,,Spawn - 0143 by Brian Holguin.cbr
